
"id_pos","x","y","distancia","correct_x","correct_y","ap1","ap2","ap3","tempo"
"13","3","0","20.3958","0","2","-72","-52","-52","105"
"13","3","3","20.4216","0","2","-72","-63","-52","105"
"13","3","6","19.6954","0","2","-72","-58","-52","105"
"13","3","9","23.1216","0","2","-72","-69","-52","105"
"13","3","12","21.4162","0","2","-72","-66","-52","105"
"13","3","15","15.0027","0","2","-71","-64","-59","105"
"13","3","18","18","0","2","-71","-69","-59","105"
"13","6","0","10.8447","0","2","-83","-48","-73","105"
"13","6","3","6.32456","0","2","-83","-57","-73","105"
"13","9","0","9.75623","0","2","-83","-50","-73","105"
"13","9","3","6.34621","0","2","-83","-56","-73","105"
"13","12","0","11.6316","0","2","-83","-47","-73","105"
"13","12","3","14.2858","0","2","-83","-44","-73","105"
"13","15","0","22.4794","0","2","-83","-35","-73","105"
"13","15","3","16.6433","0","2","-71","-42","-75","105"
"13","18","0","21.8466","0","2","-74","-37","-64","105"
"13","18","3","22.5175","0","2","-74","-36","-64","105"
"13","21","0","14.0522","0","2","-74","-45","-64","105"
"13","21","3","14.2127","0","2","-74","-45","-64","105"
"13","24","0","13.2229","0","2","-74","-46","-64","105"
"13","24","3","13.615","0","2","-74","-46","-64","105"
"13","27","0","15.9374","0","2","-74","-43","-64","105"
"13","27","3","13.1452","0","2","-74","-46","-64","105"
"13","30","0","8.00822","0","2","-74","-55","-64","105"
"13","30","3","12.9904","0","2","-74","-46","-64","105"
"13","33","0","13.7733","0","2","-74","-46","-64","105"
"13","33","3","8.18535","0","2","-74","-60","-64","105"
"13","36","0","14.5736","0","2","-65","-55","-79","105"
"13","36","3","7.95138","0","2","-74","-59","-64","105"
"14","0","0","10.6418","0","2","-75","-47","-64","111"
"14","0","3","2.65347","0","2","-75","-56","-70","111"
"14","0","6","2.26829","0","2","-75","-55","-70","111"
"14","0","9","14.5799","0","2","-67","-61","-62","111"
"14","0","12","14.6969","0","2","-73","-41","-73","111"
"14","0","15","16.7631","0","2","-67","-65","-62","111"
"14","0","18","16.7332","0","2","-71","-65","-59","111"
"14","3","0","19.952","0","2","-72","-52","-52","111"
"14","3","3","21.0553","0","2","-72","-63","-52","111"
"14","3","6","19.9357","0","2","-72","-58","-52","111"
"14","3","9","24.2357","0","2","-72","-69","-52","111"
"14","3","12","22.2879","0","2","-72","-66","-52","111"
"14","3","15","15.9981","0","2","-71","-64","-59","111"
"14","3","18","19.3907","0","2","-71","-69","-59","111"
"14","6","0","9.29351","0","2","-83","-48","-73","111"
"14","6","3","6.63325","0","2","-83","-57","-73","111"
"14","9","0","8.33485","0","2","-83","-50","-73","111"
"14","9","3","6.49455","0","2","-83","-56","-73","111"
"14","12","0","10.0123","0","2","-83","-47","-73","111"
"14","12","3","12.5238","0","2","-83","-44","-73","111"
"14","15","0","20.5679","0","2","-83","-35","-73","111"
"14","15","3","14.8661","0","2","-71","-42","-75","111"
"14","18","0","19.9842","0","2","-74","-37","-64","111"
"14","18","3","20.6464","0","2","-74","-36","-64","111"
"14","21","0","12.4188","0","2","-74","-45","-64","111"
"14","21","3","12.5698","0","2","-74","-45","-64","111"
"14","24","0","11.6451","0","2","-74","-46","-64","111"
"14","24","3","12.0093","0","2","-74","-46","-64","111"
"14","27","0","14.2127","0","2","-74","-43","-64","111"
"14","27","3","11.5732","0","2","-74","-46","-64","111"
"14","30","0","7.63065","0","2","-74","-55","-64","111"
"14","30","3","11.4304","0","2","-74","-46","-64","111"
"14","33","0","12.1572","0","2","-74","-46","-64","111"
"14","33","3","9.11043","0","2","-74","-60","-64","111"
"14","36","0","14.4225","0","2","-65","-55","-79","111"
"14","36","3","8.73883","0","2","-74","-59","-64","111"
"15","0","0","12.1776","0","2","-75","-47","-64","117"
"15","0","3","2.30792","0","2","-75","-56","-70","117"
"15","0","6","2.76065","0","2","-75","-55","-70","117"
"15","0","9","13.9319","0","2","-67","-61","-62","117"
"15","0","12","16.6132","0","2","-73","-41","-73","117"
"15","0","15","15.6525","0","2","-67","-65","-62","117"
"15","0","18","15.6205","0","2","-71","-65","-59","117"
"15","3","0","20.3958","0","2","-72","-52","-52","117"
"15","3","3","20.4216","0","2","-72","-63","-52","117"
"15","3","6","19.6954","0","2","-72","-58","-52","117"
"15","3","9","23.1216","0","2","-72","-69","-52","117"
"15","3","12","21.4162","0","2","-72","-66","-52","117"
"15","3","15","15.0027","0","2","-71","-64","-59","117"
"15","3","18","18","0","2","-71","-69","-59","117"
"15","6","0","10.8447","0","2","-83","-48","-73","117"
"15","6","3","6.32456","0","2","-83","-57","-73","117"
"15","9","0","9.75623","0","2","-83","-50","-73","117"
"15","9","3","6.34621","0","2","-83","-56","-73","117"
"15","12","0","11.6316","0","2","-83","-47","-73","117"
"15","12","3","14.2858","0","2","-83","-44","-73","117"
